flows,products,is_subtotal
04 International marine bunkers,17 Electricity,False
04 International marine bunkers,18 Heat,False
04 International marine bunkers,19 Total,True
04 International marine bunkers,20 Total Renewables,True
04 International marine bunkers,21 Modern renewables,True
05 International aviation bunkers,01 Coal,True
05 International aviation bunkers,01.01 Coking coal,False
05 International aviation bunkers,01.02 Other bituminous coal,False
05 International aviation bunkers,01.03 Sub-bituminous coal,False
05 International aviation bunkers,01.04 Anthracite,False
05 International aviation bunkers,01.05 Lignite,False
05 International aviation bunkers,01.99 Coal nonspecified,False
05 International aviation bunkers,02 Coal products,True
05 International aviation bunkers,02.01 Coke oven coke,False
05 International aviation bunkers,02.02 Gas coke,False
05 International aviation bunkers,02.03 Coke oven gas,False
05 International aviation bunkers,02.04 Blast furnace gas,False
05 International aviation bunkers,02.05 Other recovered gases,False
05 International aviation bunkers,02.06 Patent fuel,False
05 International aviation bunkers,02.07 Coal tar,False
05 International aviation bunkers,02.08 BKB/PB,False
05 International aviation bunkers,03 Peat,False
05 International aviation bunkers,04 Peat products,False
05 International aviation bunkers,05 Oil shale and oil sands,False
05 International aviation bunkers,06 Crude oil & NGL,True
05 International aviation bunkers,06.01 Crude oil,False
05 International aviation bunkers,06.02 Natural gas liquids,False
05 International aviation bunkers,06.03 Refinery feedstocks,False
05 International aviation bunkers,06.04 Additives/ oxygenates,False
05 International aviation bunkers,06.05 Other hydrocarbons,False
05 International aviation bunkers,07 Petroleum products,True
05 International aviation bunkers,07.01 Motor gasoline,False
05 International aviation bunkers,07.02 Aviation gasoline,False
05 International aviation bunkers,07.03 Naphtha,False
05 International aviation bunkers,07.04 Gasoline type jet fuel,False
05 International aviation bunkers,07.05 Kerosene type jet fuel,False
05 International aviation bunkers,07.06 Kerosene,False
05 International aviation bunkers,07.07 Gas/diesel oil,False
05 International aviation bunkers,07.08 Fuel oil,False
05 International aviation bunkers,07.09 LPG,False
05 International aviation bunkers,07.10 Refinery gas (not liquefied),False
05 International aviation bunkers,07.11 Ethane,False
05 International aviation bunkers,07.12 White spirit SBP,False
05 International aviation bunkers,07.13 Lubricants,False
05 International aviation bunkers,07.14 Bitumen,False
05 International aviation bunkers,07.15 Paraffin  waxes,False
05 International aviation bunkers,07.16 Petroleum coke,False
05 International aviation bunkers,07.17 Other products,False
05 International aviation bunkers,07.99 PetProd nonspecified,False
05 International aviation bunkers,08 Gas,True
05 International aviation bunkers,08.01 Natural gas,False
05 International aviation bunkers,08.02 LNG,False
05 International aviation bunkers,08.03 Gas works gas,False
05 International aviation bunkers,08.99 Gas nonspecified,False
05 International aviation bunkers,09 Nuclear,False
05 International aviation bunkers,10 Hydro,False
05 International aviation bunkers,11 Geothermal,False
05 International aviation bunkers,12 Solar,True
05 International aviation bunkers,12.01 of which: Photovoltaics,False
05 International aviation bunkers,12.99 Solar nonspecified,False
05 International aviation bunkers,"13 Tide, wave, ocean",False
05 International aviation bunkers,14 Wind,False
05 International aviation bunkers,15 Solid biomass,True
05 International aviation bunkers,15.01 Fuelwood & woodwaste,False
05 International aviation bunkers,15.02 Bagasse,False
05 International aviation bunkers,15.03 Charcoal,False
05 International aviation bunkers,15.04 Black liqour,False
05 International aviation bunkers,15.05 Other biomass,False
05 International aviation bunkers,16 Others,True
05 International aviation bunkers,16.01 Biogas,False
05 International aviation bunkers,16.02 Industrial waste,False
05 International aviation bunkers,16.03 Municipal solid waste (renewable),False
05 International aviation bunkers,16.04 Municipal solid waste (non-renewable),False
05 International aviation bunkers,16.05 Biogasoline,False
05 International aviation bunkers,16.06 Biodiesel,False
05 International aviation bunkers,16.07 Bio jet kerosene,False
05 International aviation bunkers,16.08 Other liquid biofuels,False
05 International aviation bunkers,16.09 Other sources,False
05 International aviation bunkers,17 Electricity,False
05 International aviation bunkers,18 Heat,False
05 International aviation bunkers,19 Total,True
05 International aviation bunkers,20 Total Renewables,True
05 International aviation bunkers,21 Modern renewables,True
06 Stock changes,01 Coal,True
06 Stock changes,01.01 Coking coal,False
06 Stock changes,01.02 Other bituminous coal,False
06 Stock changes,01.03 Sub-bituminous coal,False
06 Stock changes,01.04 Anthracite,False
06 Stock changes,01.05 Lignite,False
06 Stock changes,01.99 Coal nonspecified,False
06 Stock changes,02 Coal products,True
06 Stock changes,02.01 Coke oven coke,False
06 Stock changes,02.02 Gas coke,False
06 Stock changes,02.03 Coke oven gas,False
06 Stock changes,02.04 Blast furnace gas,False
06 Stock changes,02.05 Other recovered gases,False
06 Stock changes,02.06 Patent fuel,False
06 Stock changes,02.07 Coal tar,False
06 Stock changes,02.08 BKB/PB,False
06 Stock changes,03 Peat,False
06 Stock changes,04 Peat products,False
06 Stock changes,05 Oil shale and oil sands,False
06 Stock changes,06 Crude oil & NGL,True
06 Stock changes,06.01 Crude oil,False
06 Stock changes,06.02 Natural gas liquids,False
06 Stock changes,06.03 Refinery feedstocks,False
06 Stock changes,06.04 Additives/ oxygenates,False
06 Stock changes,06.05 Other hydrocarbons,False
06 Stock changes,07 Petroleum products,True
06 Stock changes,07.01 Motor gasoline,False
06 Stock changes,07.02 Aviation gasoline,False
06 Stock changes,07.03 Naphtha,False
06 Stock changes,07.04 Gasoline type jet fuel,False
06 Stock changes,07.05 Kerosene type jet fuel,False
06 Stock changes,07.06 Kerosene,False
06 Stock changes,07.07 Gas/diesel oil,False
06 Stock changes,07.08 Fuel oil,False
06 Stock changes,07.09 LPG,False
