sheet_name,sector_code_9th,sector_name,final_category_name,notes,active,esto_flow_override,category_type,measure,dashboard_note_override,dashboard_page,dashboard_level
Freight non road air,15_01_02_freight,Freight non-road,Freight non road air,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Pipeline transport,15_05_pipeline_transport,Pipeline transport,Pipeline transport,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Mining and quarrying,14_01_mining_and_quarrying,Mining and quarrying,Mining and quarrying,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Non-specified industry,14_03_11_nonspecified_industry,Non-specified industry,Non-specified industry,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Textiles and leather,14_03_10_textiles_and_leather,Textiles and leather,Textiles and leather,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Wood and wood products,14_03_09_wood_and_wood_products,Wood and wood products,Wood and wood products,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Pulp and paper,14_03_08_pulp_paper_and_printing,"Pulp, paper and printing",Pulp and paper,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Food and tobacco,14_03_07_food_beverages_and_tobacco,"Food, beverages and tobacco",Food and tobacco,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Machinery,14_03_06_machinery,Machinery,Machinery,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Transport equipment,14_03_05_transportation_equipment,Transportation equipment,Transport equipment,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Non-metallic minerals,14_03_04_nonmetallic_mineral_products,Non-metallic mineral products,Non-metallic minerals,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Non-ferrous metals,14_03_03_non_ferrous_metals,Non ferrous metals,Non-ferrous metals,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Chemicals,14_03_02_chemical_incl_petrochemical,Chemical (incl. petrochemical),Chemicals,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Iron and steel,14_03_01_iron_and_steel,Iron and steel,Iron and steel,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Construction,14_02_construction,Construction,Construction,,TRUE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Fishing,16_02_agriculture_and_fishing,Agriculture and fishing,Agriculture and fishing,,TRUE,,fuel,Final Energy Demand (Petajoules),,Other sector,
Non-specified others,16_05_nonspecified_others,Non-specified others,Non-specified others,,TRUE,,fuel,Final Energy Demand (Petajoules),,Other sector,
